games,date_game,odd_home_team,odd_away_team
OKC-SAC,2015-12-06,"1,12","6,00"
WAS-DAL,2015-12-06,"2,05","1,75"
CHI-PHO,2015-12-07,"1,30","3,40"
CHO-DET,2015-12-07,"1,65","2,20"
MIA-WAS,2015-12-07,"1,25","3,80"
MIL-POR,2015-12-07,"1,95","1,85"
MIN-LAC,2015-12-07,"2,40","1,50"
NOP-BOS,2015-12-07,"1,90","1,90"
NYK-DAL,2015-12-07,"1,90","1,90"
PHI-SAS,2015-12-07,"5,30","1,15"
TOR-LAL,2015-12-07,"1,10","6,50"
BRK-HOU,2015-12-08,"2,70","1,45"
CLE-POR,2015-12-08,"1,20","4,50"
DEN-ORL,2015-12-08,"2,20","1,65"
IND-GSW,2015-12-08,"3,00","1,37"
MEM-OKC,2015-12-08,"2,10","1,70"
SAC-UTA,2015-12-08,"1,65","2,20"
BOS-CHI,2015-12-09,"1,55","2,40"
CHO-MIA,2015-12-09,"1,90","1,90"
DAL-ATL,2015-12-09,"2,00","1,80"
DET-MEM,2015-12-09,"1,55","2,40"
MIL-LAC,2015-12-09,"2,90","1,40"
MIN-LAL,2015-12-09,"1,30","3,40"
PHO-ORL,2015-12-09,"1,50","2,55"
TOR-SAS,2015-12-09,"3,10","1,35"
UTA-NYK,2015-12-09,"1,60","2,30"
WAS-HOU,2015-12-09,"1,55","2,40"
BRK-PHI,2015-12-10,"1,30","3,40"
CHI-LAC,2015-12-10,"2,00","1,80"
OKC-ATL,2015-12-10,"1,28","3,60"
SAC-NYK,2015-12-10,"1,35","3,10"
BOS-GSW,2015-12-11,"2,90","1,40"
DEN-MIN,2015-12-11,"1,95","1,85"
IND-MIA,2015-12-11,"1,45","2,70"
MEM-CHO,2015-12-11,"1,60","2,30"
NOP-WAS,2015-12-11,"1,65","2,20"
ORL-CLE,2015-12-11,"2,30","1,60"
PHI-DET,2015-12-11,"4,20","1,22"
PHO-POR,2015-12-11,"1,55","2,40"
SAS-LAL,2015-12-11,"1,03",11
TOR-MIL,2015-12-11,"1,27","3,70"
UTA-OKC,2015-12-11,"2,30","1,60"
ATL-SAS,2015-12-12,"2,20","1,60"
BRK-LAC,2015-12-12,"3,30","1,32"
CHI-NOP,2015-12-12,"1,27","3,70"
CHO-BOS,2015-12-12,"1,65","2,20"
DAL-WAS,2015-12-12,"1,35","3,10"
DET-IND,2015-12-12,"1,85","1,95"
HOU-LAL,2015-12-12,"1,10","6,50"
MIL-GSW,2015-12-12,"4,80","1,17"
POR-NYK,2015-12-12,"1,55","2,40"
MIA-MEM,2015-12-13,"1,65","2,20"
OKC-UTA,2015-12-13,"1,17","4,80"
PHO-MIN,2015-12-13,"1,40","2,90"
TOR-PHI,2015-12-13,"1,08","7,50"
ATL-MIA,2015-12-14,"1,35","3,10"
BRK-ORL,2015-12-14,"2,30","1,60"
CHI-PHI,2015-12-14,"1,05","9,00"
DAL-PHO,2015-12-14,"1,50","2,55"
DEN-HOU,2015-12-14,"2,40","1,55"
DET-LAC,2015-12-14,"2,10","1,75"
IND-TOR,2015-12-14,"1,50","2,55"
MEM-WAS,2015-12-14,"1,55","2,40"
POR-NOP,2015-12-14,"1,60","2,30"
SAS-UTA,2015-12-14,"1,07","8,00"
BOS-CLE,2015-12-15,"2,00","1,80"
LAL-MIL,2015-12-15,"2,55","1,50"
MIN-DEN,2015-12-15,"1,35","3,10"
SAC-HOU,2015-12-15,"1,70","2,10"
ATL-PHI,2015-12-16,"1,03",11
BRK-MIA,2015-12-16,"2,55","1,50"
CHI-MEM,2015-12-16,"1,55","2,40"
DET-BOS,2015-12-16,"1,70","2,10"
GSW-PHO,2015-12-16,"1,08","7,50"
IND-DAL,2015-12-16,"1,50","2,55"
LAC-MIL,2015-12-16,"1,12","6,00"
NYK-MIN,2015-12-16,"1,50","2,55"
OKC-POR,2015-12-16,"1,15","5,20"
ORL-CHO,2015-12-16,"1,95","1,85"
SAS-WAS,2015-12-16,"1,05","9,00"
UTA-NOP,2015-12-16,"1,60","2,30"
CHO-TOR,2015-12-17,"2,20","1,65"
CLE-OKC,2015-12-17,"1,65","2,20"
LAL-HOU,2015-12-17,"3,10","1,35"
BOS-ATL,2015-12-18,"1,55","2,40"
CHI-DET,2015-12-18,"1,45","2,70"
DAL-MEM,2015-12-18,"1,65","2,20"
GSW-MIL,2015-12-18,"1,01",11
IND-BRK,2015-12-18,"1,13","5,70"
MIA-TOR,2015-12-18,"1,50","2,55"
MIN-SAC,2015-12-18,"2,10","1,70"
ORL-POR,2015-12-18,"1,50","2,55"
PHI-NYK,2015-12-18,"3,10","1,35"
PHO-NOP,2015-12-18,"1,60","2,30"
SAS-LAC,2015-12-18,"1,22","4,20"
UTA-DEN,2015-12-18,"1,40","2,90"
HOU-LAC,2015-12-19,"2,10","1,70"
MEM-IND,2015-12-19,"1,90","1,90"
NYK-CHI,2015-12-19,"1,75","2,05"
OKC-LAL,2015-12-19,"1,02",13
WAS-CHO,2015-12-19,"1,95","1,85"
BRK-MIN,2015-12-20,"2,00","1,80"
CLE-PHI,2015-12-20,"1,02",12
DEN-NOP,2015-12-20,"1,90","1,90"
MIA-POR,2015-12-20,"1,45","2,70"
ORL-ATL,2015-12-20,"1,95","1,85"
PHO-MIL,2015-12-20,"1,30","3,40"
TOR-SAC,2015-12-20,"1,40","2,90"
ATL-POR,2015-12-21,"1,13","5,70"
BOS-MIN,2015-12-21,"1,25","3,80"
CHI-BRK,2015-12-21,"1,12","6,00"
HOU-CHO,2015-12-21,"1,60","2,30"
LAC-OKC,2015-12-21,"2,10","1,70"
NYK-ORL,2015-12-21,"1,60","2,30"
SAS-IND,2015-12-21,"1,20","4,40"
UTA-PHO,2015-12-21,"1,50","2,55"
WAS-SAC,2015-12-21,"1,65","2,20"
DEN-LAL,2015-12-22,"1,40","2,90"
MIA-DET,2015-12-22,"1,65","2,20"
PHI-MEM,2015-12-22,"5,20","1,15"
TOR-DAL,2015-12-22,"1,45","2,70"
ATL-DET,2015-12-23,"1,35","3,10"
BRK-DAL,2015-12-23,"2,30","1,60"
CHO-BOS,2015-12-23,"1,75","2,05"
CLE-NYK,2015-12-23,"1,06","8,50"
GSW-UTA,2015-12-23,"1,04",10
IND-SAC,2015-12-23,"1,35","3,10"
LAL-OKC,2015-12-23,"9,00","1,05"
MIL-PHI,2015-12-23,"1,10","6,50"
MIN-SAS,2015-12-23,"6,50","1,10"
NOP-POR,2015-12-23,"1,27","3,70"
ORL-HOU,2015-12-23,"1,95","1,85"
PHO-DEN,2015-12-23,"1,22","4,20"
WAS-MEM,2015-12-23,"2,00","1,80"
GSW-CLE,2015-12-25,"1,30","3,40"
HOU-SAS,2015-12-25,"3,60","1,27"
LAL-LAC,2015-12-25,"8,00","1,07"
MIA-NOP,2015-12-25,"1,50","2,55"
OKC-CHI,2015-12-25,"1,17","4,80"
ATL-NYK,2015-12-26,"1,27","3,70"
BRK-WAS,2015-12-26,"2,30","1,60"
CHO-MEM,2015-12-26,"1,70","2,10"
DAL-CHI,2015-12-26,"1,65","2,20"
DET-BOS,2015-12-26,"2,00","1,80"
MIL-TOR,2015-12-26,"2,20","1,65"
MIN-IND,2015-12-26,"2,55","1,50"
NOP-HOU,2015-12-26,"1,95","1,85"
ORL-MIA,2015-12-26,"1,45","2,70"
PHO-PHI,2015-12-26,"1,10","6,50"
POR-CLE,2015-12-26,"3,80","1,25"
SAS-DEN,2015-12-26,"1,05","9,00"
UTA-LAC,2015-12-26,"2,05","1,75"
BOS-NYK,2015-12-27,"1,22","4,20"
MEM-LAL,2015-12-27,"1,15","5,20"
OKC-DEN,2015-12-27,"1,02",13
SAC-POR,2015-12-27,"1,20","4,50"
CHI-TOR,2015-12-28,"1,85","1,95"
CHO-LAL,2015-12-28,"1,07","8,00"
DAL-MIL,2015-12-28,"1,35","3,10"
GSW-SAC,2015-12-28,"1,03",11
IND-ATL,2015-12-28,"1,85","1,95"
MIA-BRK,2015-12-28,"1,25","3,80"
ORL-NOP,2015-12-28,"1,50","2,55"
PHO-CLE,2015-12-28,"4,80","1,17"
SAS-MIN,2015-12-28,"1,03",11
UTA-PHI,2015-12-28,"1,20","4,40"
WAS-LAC,2015-12-28,"1,85","1,95"
DEN-CLE,2015-12-29,"3,10","1,35"
HOU-ATL,2015-12-29,"1,55","2,40"
MEM-MIA,2015-12-29,"1,50","2,55"
NYK-DET,2015-12-29,"2,00","1,80"
OKC-MIL,2015-12-29,"1,05","9,00"
BOS-LAL,2015-12-30,"1,05","9,00"
CHI-IND,2015-12-30,"1,60","2,30"
CHO-LAC,2015-12-30,"2,20","1,65"
DAL-GSW,2015-12-30,"2,40","1,55"
MIN-UTA,2015-12-30,"1,55","2,40"
ORL-BRK,2015-12-30,"1,27","3,70"
POR-DEN,2015-12-30,"1,35","3,10"
SAC-PHI,2015-12-30,"1,13","5,60"
SAS-PHO,2015-12-30,"1,02",12
TOR-WAS,2015-12-30,"1,27","3,70"
DET-MIN,2015-12-31,"1,27","3,70"
HOU-GSW,2015-12-31,"1,55","2,40"
IND-MIL,2015-12-31,"1,40","2,90"
NOP-LAC,2015-12-31,"1,80","2,00"
OKC-PHO,2015-12-31,"1,03",11
UTA-POR,2015-12-31,"1,55","2,40"
CHI-NYK,2016-01-01,"1,30","3,40"
LAL-PHI,2016-01-01,"1,60","2,20"
MIA-DAL,2016-01-01,"1,70","2,10"
